第一部类　三洞真经
CH1705-02-3-12观物篇之十二　以元经会之十二 17-220
CH1705-03-1 卷第三上 17-226

CH1705-03-1-13观物篇之十三　以会经运之一 17-226
CH1705-03-1-14观物篇之十四　以会经运之二 17-228
CH1705-03-2 卷第三中 17-233

CH1705-03-2-15观物篇之十五　以会经运之三 17-233
CH1705-03-2-16观物篇之十六　以会经运之四 17-239
CH1705-03-3 卷第三下 17-245

CH1705-03-3-17观物篇之十七　以会经运之五 17-245
CH1705-03-3-18观物篇之十八　以会经运之六 17-250
CH1705-04-1 卷第四上 17-256

CH1705-04-1-19观物篇之十九　以会经运之七 17-256
CH1705-04-1-20观物篇之二十　以会经运之八 17-262
CH1705-04-2 卷第四中 17-268

CH1705-04-2-21观物篇之二十一　以会经运之九 17-268
CH1705-04-2-22观物篇之二十二　以会经运之十 17-274
CH1705-04-3 卷第四下 17-281

CH1705-04-3-23观物篇之二十三　以会经运之十一 17-281
CH1705-04-3-24观物篇之二十四　以会经运之十二 17-286
CH1705-05-1 卷第五上 17-295

CH1705-05-1-25观物篇之二十五　以运经世之一 17-295
CH1705-05-1-26观物篇之二十六　以运经世之二 17-298
CH1705-05-1-27观物篇之二十七　以运经世之三 17-298
CH1705-05-2 卷第五中 17-310

CH1705-05-2-28观物篇之二十八　以运经世之四 17-310
CH1705-05-2-29观物篇之二十九　以运经世之五 17-314
CH1705-05-3 卷第五下 17-322

CH1705-05-3-30观物篇之三十　以运经世之 17-322
CH1705-06-1 卷第六上 17-336

CH1705-06-1-31观物篇之三十一　以运经世之七 17-336
CH1705-06-1-32观物篇之三十二　以运经世之八 17-350
CH1705-06-2 卷第六中 17-356

CH1705-06-2-33观物篇之三十二 　以运经世之八下 17-356
CH1705-06-2-34观物篇之三十三 　以运经世之九 17-362
CH1705-06-3 卷第六下 17-382

CH1705-06-3-35观物篇之三十四　以运经世之十 17-382
CH1705-07-0 卷第七 目录 17-403
CH1705-07-1 卷第七上 17-403

CH1705-07-1-36观物篇之三十五 17-404
CH1705-07-1-37观物篇之三十六上 17-417



CH1705-07-2 卷第七中 17-422
CH1705-07-2-38观物篇之三十六下 17-422
CH1705-07-2-39观物篇之三十七上 17-431
CH1705-07-3 卷第七下 17-440

CH1705-07-3-40观物篇之三十七下 17-440
CH1705-07-3-41观物篇之三十八 17-444
CH1705-08-0 卷第八目录 17-458
CH1705-08-1 卷第八上 17-459

CH1705-08-1-42观物篇之三十九 17-459
CH1705-08-1-43观物篇之四十上 17-472
CH1705-08-2 卷第八中 17-476

CH1705-08-2-44观物篇之四十下 17-476
CH1705-08-2-45观物篇之四十一上 17-486
CH1705-08-3 卷第八下 17-495

CH1705-08-3-46观物篇之四十一下 17-495
CH1705-08-3-47观物篇之四十二 17-500
CH1705-09-0 卷第九目录 17-514
CH1705-09-1 卷第九上 17-514

CH1705-09-1-48观物篇之四十三 17-514
CH1705-09-1-49观物篇之四十四上 17-527
CH1705-09-2 卷第九中 17-535

CH1705-10-1-50观物篇之四十四下 17-535
CH1705-10-1-51观物篇之四十五上 17-541
CH1705-09-3 卷第九下 17-552

CH1705-09-3-52观物篇之四十五下 17-552
CH1705-09-3-53观物篇之四十六 17-555
CH1705-10-0 卷第十目录 17-569
CH1705-10-1 卷第十上 17-569

CH1705-10-1-54观物篇之四十七 17-569
CH1705-10-1-55观物篇之四十八上 17-582
CH1705-10-2 卷第十中 17-589

CH1705-10-2-56观物篇之四十八下 17-589
CH1705-10-2-57观物篇之四十九 17-596
CH1705-10-3 卷第十下 17-610

CH1705-10-3-58观物篇之五十 17-610
CH1705-11-1 卷第十一上 17-623

CH1705-11-1-59观物篇之五十一 17-623
CH1705-11-2-60观物篇之五十二 17-624
CH1705-11-2-61观物篇之五十三 17-625
CH1705-11-2-62观物篇之五十四 17-625
CH1705-11-2-63观物篇之五十五 17-627
CH1705-11-2-64观物篇之五十六 17-628
CH1705-11-2 卷第十一下 17-631

CH1705-11-2-65观物篇之五十七 17-631
CH1705-11-2-66观物篇之五十八 17-632
CH1705-11-2-67观物篇之五十九 17-632
CH1705-11-2-68观物篇之六十 17-633



CH1705-11-2-69观物篇之六十一 17-634
CH1705-11-2-70观物篇之六十二 17-635
CH1705-12-1 卷第十一上 　观物外篇上 17-637
CH1705-12-2 卷第十二下　观物外篇下 17-651

CH1706 集注太玄经(司马光)-正统道藏太清部 17-663
CH1706-0-1 集注太玄经目录 17-663
CH1706-0-2 集注太玄经读玄 17-665
CH1706-0-3 集注太玄经说玄 17-666
CH1706-0-4 集注太玄经序 17-667
CH1706-01 集注太玄经卷第一 17-668

CH1706-01-01 太玄 17-668
CH1706-01-02 玄首 17-668
CH1706-01-03 玄测 17-669
CH1706-01-04 中 17-669
CH1706-01-05 周 17-670
CH1706-01-06 礥 17-671
CH1706-01-07 闲 17-672
CH1706-01-08 少 17-672
CH1706-01-09 戾 17-673
CH1706-01-10 上 17-674
CH1706-01-11 干 17-674
CH1706-01-12 爻+守 17-675
CH1706-01-13 羡 17-676
CH1706-01-14 差 17-676
CH1706-02 集注太玄经卷第二 17-678

CH1706-02-01 童 17-678
CH1706-02-02 增 17-678
CH1706-02-03 锐 17-679
CH1706-02-04 达 17-680
CH1706-02-05 交 17-680
CH1706-02-06 而+火 17-681
CH1706-02-07 徯 17-682
CH1706-02-08 从 17-682
CH1706-02-09 进 17-683
CH1706-02-10 释 17-683
CH1706-02-11 格 17-684
CH1706-02-12 夷 17-684
CH1706-02-13 乐 17-685
CH1706-02-14 争 17-686
CH1706-02-15 务 17-686
CH1706-02-16 事 17-687
CH1706-03 集注太玄经卷第三 17-689

CH1706-03-01 更 17-689
CH1706-03-02 断 17-689
CH1706-03-03 毅 17-690
CH1706-03-04 装 17-690
CH1706-03-05 众 17-691



CH1706-03-06 密 17-692
CH1706-03-07 亲 17-692
CH1706-03-08 敛 17-693
CH1706-03-09 强 17-693
CH1706-03-10 睟 17-694
CH1706-03-11 盛 17-695
CH1706-03-12 居 17-695
CH1706-03-13 法 17-696
CH1706-03-14 应 17-697
CH1706-04 集注太玄经卷第四 17-698

CH1706-04-01 迎 17-698
CH1706-04-02 遇 17-699
CH1706-04-03 灶 17-699
CH1706-04-04 大 17-700
CH1706-04-05 廓 17-701
CH1706-04-06 文 17-701
CH1706-04-07 礼 17-702
CH1706-04-08 逃 17-703
CH1706-04-09 唐 17-704
CH1706-04-10 常 17-704
CH1706-04-11 度 17-705
CH1706-04-12 永 17-706
CH1706-04-13 昆 17-706
CH1706-05 集注太玄经卷第五 17-708

CH1706-05-01 减 17-708
CH1706-05-02 唫 17-708
CH1706-05-03 守 17-709
CH1706-05-04 翕 17-710
CH1706-05-05 聚 17-710
CH1706-05-06 积 17-711
CH1706-05-07 饰 17-712
CH1706-05-08 疑 17-712
CH1706-05-09 视 17-713
CH1706-05-10 沈 17-714
CH1706-05-11 内 17-714
CH1706-05-12 去 17-715
CH1706-05-13 晦 17-716
CH1706-05-14 瞢 17-716
CH1706-05-15 穷 17-717
CH1706-06 集注太玄经卷第六 17-719

CH1706-06-01 割 17-719
CH1706-06-02 止 17-719
CH1706-06-03 坚 17-720
CH1706-06-04 成 17-721
CH1706-06-05 门+致 17-721
CH1706-06-06 失 17-722
CH1706-06-07 剧 17-723



CH1706-06-08 驯 17-723
CH1706-06-09 将 17-724
CH1706-06-10 难 17-725
CH1706-06-11 勤 17-725
CH1706-06-12 养 17-726
CH1706-06-13 踦赞一 17-727
CH1706-06-14 赢赞二 17-727
CH1706-07 太玄首测冲错摊莹卷第七 17-728

CH1706-07-01 玄首都序 17-728
CH1706-07-02 玄首 17-728
CH1706-07-03 玄测都序 17-728
CH1706-07-04 玄测 17-728
CH1706-07-05 玄冲 17-728
CH1706-07-06 玄错 17-730
CH1706-07-07 玄攡 17-731
CH1706-07-08 玄莹 17-733
CH1706-08 太玄数卷第 八　玄数 17-735
CH1706-09 太玄文掜卷第九 17-743

CH1706-09-1 玄文 17-743
CH1706-09-2 玄掜 17-744
CH1706-10 太玄图告卷第十 17-745

CH1706-10-1 玄图 17-745
CH1706-10-2 玄告 17-747
CH1706-10-3 太玄历附汉历 17-749

序号 经目 页码
CH19 第十九册目录 19-
CH1901 太上九要心印妙经-正统道藏洞真部方法类 19-001
CH1901-0 序 19-001
CH1901-1 真一秘要 19-00
CH1901-2 橐钥秘要 19-00
CH1901-3 三五一枢要 19-00
CH1901-4 三一机要 19-00
CH1901-5 日魂月魄真要 19-00
CH1901-6 日用五行的要 19-00
CH1901-7 七返还丹简要 19-00
CH1901-8 八卦朝元统要 19-00
CH1901-9 九还一气总要 19-00
CH1902 太上老君内丹经-正统道藏洞 神部本文类 19-004
CH1903 太上老君内日用妙经-正统道藏洞 神部本文类 19-005
CH1904 太上老君外日用妙经-正统道藏洞 神部本文类 19-006
CH1905 太清元极至妙神珠玉颗经-正统道藏洞 神部方法类 19-007
CH1906 太上长文大洞灵窦幽玄上品妙经-正统道藏太玄部 19-020

CH1906-01 天地初分章第一 19-020
CH1906-02 人神感应章第二 19-020
CH1906-03 万物造化章第三 19-020



CH1906-04 阴阳相负章第四 19-021
CH1906-05 五行变易章第五 19-021
CH1906-06 八卦成象章第六 19-021
CH1906-07 男女分形章第七 19-021
CH1906-08 金丹炼形章第八 19-021
CH1906-09 圣胎成真章第九 19-022
CH1906-10 飞升羽化章第十 19-022
CH1906-11 论真一之法章第十一 19-022
CH1906-12 论二气交合法章第十二 19-022
CH1906-13 论三元上下法章第十三 19-023
CH1906-14 论四正应法序章第十四 19-023
CH1906-15 论五行匹配脏腑法章第十五 19-023
CH1906-16 论六爻合六气法章第十六 19-023
CH1906-17 论七返还丹法章第十七 19-024
CH1906-18 金液还丹章第十八 19-024
CH1906-19 论金丹成胎化法章第十九 19-024
CH19-07 太上长文大洞灵窦幽玄上品妙经发挥-正统道藏太玄部 19-025

CH19-07-01 比喻 19-025
CH19-07-02 铅汞
CH19-07-03 七十二候
CH19-07-04 三才
CH19-07-05 坎离交
CH19-07-06 三才八用
CH19-07-07 出生化神
CH19-07-08 河车运转
CH19-07-09 四正八用
CH19-07-10 六邪
CH19-07-11 三尸九虫
CH19-07-12 三山八宝
CH19-07-13 三等人修炼
CH19-07-14 九转
CH19-07-15 三生
CH19-07-16 五芽造化成真
CH19-07-17 德行
CH19-07-18 雨润苗稼
CH19-07-19 乾坤数
CH19-07-20 五丹
CH19-07-21 万神生成
CH19-07-22 男女卦数
CH19-07-23 三篇
CH19-07-24 龙虎交媾
CH19-07-25 三才
CH19-07-26 二珠
CH19-07-27 七成九败
CH19-07-28 劝戒
CH19-07-29 赞曰
CH1908 太上元宝金庭无为妙经-正统道藏正一部 19-032



CH1908-01 太虚章第一 19-032
CH1908-02 妙化章第二 19-032
CH1908-03 自然章第三 19-032
CH1908-04 太微章第四 19-033
CH1908-05 神游章第五 19-033
CH1908-06 御炁章第六 19-033
CH1908-07 太一章第七 19-033
CH1908-08 无为章第八 19-034
CH1908-09 生神章第九 19-034
CH1908-10 玉华章第十 19-034
CH1908-11 合体章第十一 19-034
CH1908-12 全角章第十二 19-035
CH1908-13 坎离章第十三 19-035
CH1908-14 交媾章第十四 19-035
CH1908-15 五行章第十五 19-035
CH1908-16 得地章第十六 19-036
CH1908-17 三宫章第十七 19-036
CH1908-18 二炁章第十八 19-036
CH1908-19 夺运章第十九 19-036
CH1908-20 御风章第二十 19-037
CH1908-21 忘形章第二十一 19-037
CH1908-22 元炁章第二十二 19-037
CH1908-23 入室章第二十三 19-037
CH1908-24 服炁章第二十四 19-038
CH1908-25 定神章第二十五 19-038
CH1908-26 绝念章第二十六 19-038
CH1908-27 休欲章第二十七 19-039
CH1909 太上化道度世仙经-正统道藏洞神部本文类 19-040
CH1909-1 化道品第一 19-040
CH1909-2 五行品第二 19-041
CH1909-3 玄理品第三 19-042
CH1910 混元八景真经-正统道藏洞神部本文类 19-045
CH1910-1 混元八景真经卷一 19-045
CH1910-2 混元八景真经卷二 19-048
CH1910-3 混元八景真经卷三 19-050
CH1910-4 混元八景真经卷四 19-054
CH1910-5 混元八景真经卷五 19-059
CH1911 混元阳符经-正统道藏洞 真部本文类 19-046
CH1912 橐钥子-正统道藏太清部 19-045
CH1912-1 三道明真反本第一 19-045
CH1912-2 五行建位泉石第二 19-048
CH1912-3 八卦系象指明第三 19-050
CH1912-4 四序刚柔成数第四 19-054
CH1912-5 九一道备无为第五 19-059
CH1913 阴丹内篇-正统道藏太清部 19-069
CH1914 真龙虎九仙经-正统道藏洞真部方法类 19-070
CH1915 灵宝大炼内旨行持机要-正统道藏洞 玄部玉诀类 19-075



CH1916 古文龙虎经注疏-正统道藏太玄部 19-077
CH1916-0 古文龙虎经注疏奏札 19-077
CH1916-1 注疏序 19-077
CH1916-2 卷上 19-078
CH1916-201 神室者丹之枢纽章第一 19-078
CH1916-202 出阳入阴章第二 19-079
CH1916-203 制犹王者章第三 19-080
CH1916-204 坎离数一二章第四 19-080
CH1916-205 刚柔有表里章第五 19-081
CH1916-206 变化既未神章第六 19-081
CH1916-207 水火各一方章第七 19-082
CH1916-208 神室设位章第八 19-082
CH1916-209 有无相制章第九 19-083
CH1916-210 诀不辄造章第十 19-084
CH1916-211 金火者真铅也章第十一 19-085
CH1916-212 于是玄润光泽章第十二 19-086
CH1916-213 玄女演其序章第十三 19-087
CH1916-3 卷中 19-088
CH1916-314 故演作丹意章第十四 19-088
CH1916-315 坤初变成震章第十五 19-089
CH1916-316 十六转相减章第十六 19-089
CH1916-317 乾坤括终始章第十七 19-090
CH1916-318 调火六十日章第十八 19-091
CH1916-319 发火初温微章第十九 19-092
CH1916-4 卷下 19-093
CH1916-420 神室先施行章第二十 19-093
CH1916-421 阳炁发坤章第二十一 19-093
CH1916-422 华盖上临章第二十二 19-093
CH1916-423 火炼中宫土章第二十三 19-094
CH1916-424 土镇中宫章第二十四 19-094
CH1916-425 水土独相配章第二十五 19-095
CH1916-426 金德尚白炼铅章第二十六 19-096
CH1916-427 布无互相制章第二十七 19-096
CH1916-428 炼银于铅章第二十八 19-097
CH1916-429 银为铅母章第二十九 19-097
CH1916-430 壳为金精章第三十 19-098
CH1916-431 圆高中起章第三十一 19-098
CH1916-432 磁石吸铁章第三十二 19-099
CH1916-433 火起不虚作章第三十三 19-099
CH1916-434 参同契大丹火候 19-100
CH1916-5 古文龙虎经注疏后序 19-101
CH1917 古文龙虎上经注-正统道藏太玄部 19-103
CH1918 大还丹金虎白龙论-正统道藏洞 神部众术类 19-109
CH1918-1 识黄芽第一 19-109
CH1918-2 识铅汞第二
CH1919 大还丹照鉴-正统道藏洞神部众术类 19-111
CH1919-0 序 19-111



CH1919-01 北方歌曰 19-111
CH1919-02 西方歌曰 19-112
CH1919-03 南方歌曰 19-112
CH1919-04 东方歌曰 19-112
CH1919-05 中方歌曰 19-112
CH1919-06 论二气产黄芽第一 19-113
CH1919-07 识铅汞第二 19-113
CH1919-08 广成子口诀第三 19-113
CH1919-09 杨真人口诀第四 19-113
CH1919-10 梁丘子口诀第五 19-113
CH1919-11 彭真君口诀第六 19-114
CH1919-12 程先生口诀第七 19-114
CH1919-13 罗浮先生口诀第八 19-114
CH1919-14 阴长生口诀第九 19-114
CH1919-15 淳于叔通口诀第十 19-114
CH1919-16 玄黄子口诀第十一 19-115
CH1919-17 尹喜真人口诀第十二 19-115
CH1919-18 陶直真人口诀第十三 19-115
CH1919-19 玄光先生口诀第十四 19-115
CH1919-20 尔朱翱真人口诀第十五 19-115
CH1919-21 冲虚子口诀第十六 19-115
CH1919-22 董大仙口诀第十七 19-115
CH1919-23 元阳子口诀第十八 19-116
CH1919-24 罗公远真人口诀第十九 19-116
CH1919-25 抱朴子口诀第二十 19-116
CH1919-26 质谷子口诀第二十一 19-116
CH1919-27 杨玄一口诀第二十二 19-116
CH1919-28 僧若纳口诀第二十三 19-116
CH1919-29 张华真人歌4铅汞第二十四 19-116
CH1919-30 剑州张司马口诀第二十五 19-117
CH1919-31 通谷关老君铅汞歌第二十六 19-117
CH1919-32 岑真人口诀第二十七 19-117
CH1919-33 崔玄真岷山子口诀第二十八 19-117
CH1919-34 窦真君七返砂歌第二十九 19-118
CH1919-35 汉祖天师口诀第三十 19-118
CH1919-36 果州谢自然口诀第三十一 19-118
CH1919-37 曹真人口诀第三十二 19-118
CH1919-38 太白山隐士韩蕴中口诀第三十三 19-118
CH1919-39 严君平口诀第三十四 19-119
CH1920 西山群仙会真记-正统道藏洞真部方法类 19-120
CH1920-0 西山群仙会真记目录．序 19-120
CH1920-1 西山群仙会真记卷一 19-121
CH1920-2 西山群仙会真记卷二 19-126
CH1920-3 西山群仙会真记卷三 19-130
CH1920-4 西山群仙会真记卷四 19-134
CH1920-5 西山群仙会真记卷五 19-138
CH1921 紫元君授道传心法 19-143



CH1922 玄珠歌 19-146
CH1923 巨胜歌 19-148
CH1924 破迷正道歌 19-150
CH1925 太上洞真凝神修行经诀 19-152
CH1926 秘传正阳真人灵宝毕法-正统道藏太清部 19-154
CH1926-0 秘传正阳真人灵宝毕法序 19-154
CH1926-1 秘传正阳真人灵宝毕法卷上 19-154
CH1926-2 秘传正阳真人灵宝毕法卷中 19-159
CH1926-3 秘传正阳真人灵宝毕法卷下 19-165
CH1927 吕纯阳真人沁园春丹词注解 19-170
CH1928 阴真君还丹歌注 19-174
CH1929 学仙辨真诀-正统道藏洞真部玉诀类 19-178
CH1929-1 辨真 19-178
CH1929-2 辨宝
CH1929-3 辨水银
CH1929-4 辨汞
CH1929-5 通辩
CH1929-6 子母歌
CH1930 陈先生内丹诀 19-181
CH1931 丹论诀旨心鉴-正统道藏洞 神部众术类 19-191
CH1931-1 序诀章第一 19-191
CH1931-2 明辨章第二 19-19
CH1931-3 金丹论章第三 19-19
CH1931-4 大还丹宗旨章第四 19-19
CH1931-5 玄记章第五 19-19
CH19-32 大还心鉴 19-196
CH19-33 内丹还元诀 19-198
CH19-34 金液大丹诗 19-200
CH19-35 龙虎精微论 19-205
CH1932 大还心鉴 19-196
CH1933 内丹还元诀 19-198
CH1934 金液大丹诗 19-200
CH1935 龙虎精微论 19-205
CH1936 固气还神九转琼丹论-正统道藏洞 玄部玉诀类 19-208
CH1936-1 固气还神论 19-208
CH1936-2 九转琼丹论
CH1937 太初元气接要保生之论 19-213
CH1938 金晶论-正统道藏洞真部方法类 19-216
CH1938-0 序 19-216
CH1938-1 上篇
CH1938-2 中篇
CH1938-3 下篇
CH1939 龙虎中丹诀 19-219
CH1940 诸真论还丹诀-正统道藏洞真部方法类 19-222
CH1940-1 玉壶颂 19-222
CH1940-2 青霞子赞
CH1940-3 真鼎



CH1940-4 赞魏伯阳
CH1940-5 明水火
CH1940-6 明火候
CH1940-7 明至药
CH1940-8 容成公内丹歌诀
CH1940-9 曹圣图铅汞歌
CH1941 养命机关金丹真诀 19-224
CH1942 还丹显妙通幽集 19-229
CH1943 九还七返龙虎金丹析理真诀 19-234
CH1944 玉室经-正统道藏太玄部 19-238

CH1944-01 禁戒章第一 19-238
CH1944-02 分炉鼎章第二 19-238
CH1944-03 日月章第三 19-238
CH1944-04 四象章第四 19-238
CH1944-05 明坎离章第五 19-238
CH1944-06 长黄芽章第六 19-238
CH1944-07 论日月章第七 19-238
CH1944-08 风雨章第八 19-239
CH1944-09 戊已章第九 19-239
CH1944-10 祸福章第十 19-239
CH1944-11 乾坤章第十一 19-239
CH1944-12 入室章第十二 19-239
CH1944-13 通玄章第十三 19-239
CH1945 还丹至药篇（含序） 19-240
CH1946 马自然金丹口诀 19-242
CH1947 内丹秘诀 19-243
CH1948 洞元子内丹诀-正统道藏太玄部 19-247
CH1948-0 序 19-247
CH1948-1 卷上 19-249
CH1948-101 玄元篇第一 19-249
CH1948-102 坎宫篇第二 19-250
CH1948-103 离宫篇第三 19-250
CH1948-104 既济篇第四 19-251
CH1948-105 未济篇第五 19-252
CH1948-106 未济既济篇第六 19-253
CH1948-107 干宫篇第七 19-253
CH1948-108 坤宫篇第八 19-253
CH1948-109 兑艮二宫篇第九 19-254
CH1948-110 变象篇第十 19-254
CH1948-2 卷下 19-255
CH1948-211 水火篇第十一 19-255
CH1948-212 焚魔篇第十二 19-255
CH1948-213 交遘篇第十三 19-255
CH1948-214 元火篇第十四 19-255
CH1948-215 沐浴篇第十五 19-256
CH1948-216 母子篇第十六 19-256
CH1948-217 抱元守一篇第十七 19-256



CH1948-218 逭数篇第十八 19-256
CH1948-219 神光篇第十九 19-257
CH1948-220 总要篇第二十 19-257
CH1948-221 广玄篇第二十一 19-258
CH1949 太玄朗然子进道诗(并序) 19-262
CH1950 真人高象先金丹歌 19-265
CH1951 证道歌(并序) 19-268
CH1952 至真子龙虎大丹诗(并序) 19-270
CH1953 真一金丹诀-正统道藏洞真部方法类 19-273
CH1954 谷神赋-正统道藏洞真部 19-277
CH1955 擒玄赋-正统道藏洞真部方法类 19-280
CH1955-1 还丹 19-28
CH1955-2 道生 19-28
CH1955-3 道源 2月19日
CH1955-4 龙虎 19-28
CH1955-5 秋石 19-28
CH1955-6 河车 19-28
CH1955-7 五行 19-28
CH1955-8 胎息 19-28
CH1955-9 盗机 19-28
CH1956 玄牝之门赋-正统道藏太玄部 19-284
CH1957 亶甲集-正统道藏太玄部 19-286
CH1958 紫阳真人悟真篇注疏-正统道藏洞真部玉诀类 19-289

CH1958-00 目录 19-289
CH1958-01 紫阳真人悟真篇注疏序 19-289
CH1958-02 悟真篇注序 19-291
CH1958-03 悟真篇序 19-294
CH19-58-1 卷一　七言四韵 19-296
CH19-58-2 卷二 19-301
CH19-58-3 卷三　五言四韵 19-307
CH19-58-4 卷四　绝句六十首 19-313
CH19-58-5 卷五　内外药 19-321
CH19-58-6 卷六 19-329
CH19-58-7 卷七　西江月十二首 19-336
CH1958-8 卷八 19-343
CH1958-81 读周易参同契 19-343
CH1958-82 赠白龙洞刘道人歌 19-346
CH1958-83 石桥歌 19-347
CH1958-84 绝句 19-348
CH1958-85 西江月 19-350
CH1958-9 悟真篇后序 19-351
CH1959 紫阳真人悟真直指详说三乘秘要-正统道藏洞真部玉诀类19-352
CH1959-1 悟真直指详说 19-352
CH1959-2 强兵战胜之术 19-354
CH1959-3 富国安民之法 19-354
CH1959-4 神仙抱一之道 19-355
CH1959-5 三乘秘要诗 19-356



CH1959-6 张真人本末 19-357
CH1959-7 薛紫贤事迹 19-357
CH1959-8 金丹法象 19-360
CH1960 紫阳真人悟真篇拾遗-正统道藏洞真部玉诀类 19-363
CH1961 悟真篇注释-正统道藏洞真部玉诀类 19-367
CH1961-0 序 19-367
CH1961-1 卷上 19-368

七言四韵十五首．五言一首
CH1961-2 卷中 19-378

绝句六十四首．
CH1961-3 卷下 19-396

读周易参同契
CH1962 紫阳真人悟真篇三注-正统道藏洞真部玉诀类 19-400

CH1962-00 目录 19-400
CH1962-01 悟真篇记 19-400
CH1962-02 陆子野注悟真篇序 19-402
CH1962-03 上阳子注悟真篇序 19-403
CH1962-04 紫阳真人悟真篇筌蹄 19-405
CH1962-05 悟真篇序 19-406
CH1962-1 卷一　七言律诗八首 19-407
CH1962-2 卷二　七言律诗八首 19-417
CH1962-3 卷三　七言绝句三十二首 19-424
CH1962-4 卷四　七言绝句三十二首 19-435
CH1962-5 卷五　五言一首．西江月十二首．又西江月一首．续绝句19五-4首45
CH1962-6 紫阳真人后序 19-453
CH1963 紫阳真人悟真篇讲义-正统道藏洞真部玉诀类 19-455

CH1963-00 目录 19-455
CH1963-01 序 19-455
CH19-63-1 卷一　七言四韵诗 19-456
CH19-63-2 卷二　续卷一 19-460
CH19-63-3 卷三　绝句诗 19-466
CH19-63-4 卷四　续卷三 19-471
CH19-63-5 卷五　续卷四 19-476
CH19-63-6 卷六　五言四韵．西江月 19-481
CH19-63-7 卷七　西江月 19-484
CH1964 金丹四百字-正统道藏太玄部 19-487
CH1965 玉清金笥青华秘文金宝内炼丹诀-正统道藏洞真部 19-492
CH1965-1 卷上 19-492

表奏．金丹图论序．心为君论．口诀．口诀中口诀．神为主论．气为用说．精从气说．意为媒说．坎离说．下手工夫．精神论．幻丹说．捉丹法．神水华池说．百窍说
CH1965-2 卷中 19-497

采取图论．交会图论．采取交会口诀．口诀中口诀．青蛾在我．真泄天机图．真泄天机图论．口诀．论．炉鼎图论．神室图论
CH1965-3 卷下 19-504

火候图论．阴尽图论．阳纯图论．总论金丹之要．次第秘诀．火候秘诀．采取图
CH1966 还源篇(并序)-正统道藏太玄部 19-509
CH1967 还丹复命论(并序)-正统道藏太玄部 19-513
CH1968 翠虚篇-正统道藏太玄部 19-518
CH1968-0 序 19-518



CH1968-1 紫庭经 19-518
CH1968-2 大道歌 19-519
CH1968-3 罗浮翠虚吟 19-520
CH1968-4 丹基归一论 19-522
CH1968-5 水调歌头 19-523
CH1968-6 金丹诗诀 19-524
CH1969 海琼问道集-正统道藏正一部 19-529
CH1969-0 序 19-529
CH1969-1 龙虎赋 19-530
CH1969-2 乌兔经 19-530
CH1969-3 玄关显秘论 19-531
CH1969-4 海琼君隐山文 19-533
CH1969-5 常寂光国记 19-534
CH1969-5 金液大还丹赋 19-535
CH1969-7 金液大还丹诗 19-536
CH1969-8 道阃元枢歌 19-536
CH1970 海琼传道集-正统道藏正一部 19-538
CH1970-0 序 19-538
CH1970-01 丹法参同三十对偶子 19-538
CH1970-02 丹法参同二十贯穿子 19-538
CH1970-03 攒族五行之图 19-539
CH1970-04 和合四象之图 19-539
CH1970-05 偃月炉之图 19-539
CH1970-06 仙化图 19-539
CH1970-07 天机图 19-539
CH1970-08 金鼎之图 19-540
CH1970-09 金丹之图 19-540
CH1970-10 神室之图 19-540
CH1970-11 婴儿之图 19-540
CH1970-12 刀圭之图 19-540
CH1970-13 玄牝之图 19-540
CH1970-14 三关之图 19-540
CH1970-15 产药川源之图 19-540
CH1970-16 药物火候之图 19-540
CH1970-17 性命之图 19-540
CH1970-18 真土之图 19-540
CH1970-19 丹法参同七鉴 19-540
CH1970-20 丹法参同九十九诀 19-540
CH1970-21 天地交泰之图 19-541
CH1970-22 日月合璧之图 19-541
CH1970-23 金丹火候口诀 19-541
CH1970-24 造物图 19-541
CH1970-25 龙虎图 19-541
CH1970-26 金液还丹图 19-541
CH1970-27 仙派 19-541
CH1970-28 钩锁连环经 19-541
CH1971 海琼白真人语录-正统道藏正一部 19-545



CH1971-0 目录 19-545
CH1971-1 卷一 19-545

CH1971-1-01 师徒问答 19-545
CH1971-1-02 传度谢恩表文 5月19日
CH1971-1-03 神霄吟三绝 5月19日
CH1971-1-04 飞仙吟赠留紫元 5月19日
CH1971-1-05 华阳吟三十首 5月19日
CH1971-1-06 题天庆观 5月19日
CH1971-1-07 题岳祠 5月19日
CH1971-1-08 乳燕飞华屋 5月19日
CH1971-1-09 赠蘂珠侍经潘常吉 5月19日
CH1971-1-10 赠紫华侍经周希清 5月19日
CH1971-2 卷二 19-554

鹤林法语
CH1971-3 卷三 19-561

CH1971-3-01 武夷升堂 19-561
CH1971-3-02 常州清醮升堂 5月19日
CH1971-3-03 庐士升堂 5月19日
CH1971-3-04 平江鹤会升堂 5月19日
CH1971-3-05 东楼小参 5月19日
CH1971-3-06 冬至小参 5月19日
CH1971-3-07 西林入室 5月19日
CH1971-3-08 西林架造钟楼普说 5月19日
CH1971-4 卷四 19-569

CH1971-4-01 泥丸真人罗浮翠处吟 19-569
CH1971-4-02 海琼君万法归一歌 19-571
CH1971-4-03 劝道文 19-572
CH1971-4-04 传法明心颂彭鹤林 19-572
CH1971-4-05 黄箓借职奏状 19-572
CH1971-4-06 陈情表 19-573
CH1971-4-07 与彭鹤林书 19-573
